content,score,at,appVersion,userName,thumbsUpCount
"great platform to steal public data & idea, Takes infinite time to process image, don't care about how to respect community & people, made for those lazy people, waiting over time for final result, 👎👎👎👎👎👎",1,2025-12-10 00:40:08,,Ameet Sarker,0
"so easy to interact with, love how it explains things",5,2025-12-10 00:39:28,1.2025.336,Burt Keefer,0
good,5,2025-12-10 00:39:20,1.2025.308,Vinod Tirkey,0
very helpful and amazing so nice and excellent service 👍,5,2025-12-10 00:39:18,1.2025.336,Jhili Ghadia,0
very helpful and good,5,2025-12-10 00:38:28,1.2025.329,Nour Alkarkoukli,0
very good 👍,5,2025-12-10 00:36:05,1.2025.329,Samim Ahmedi,0
your the best workers to for us this beautiful app thank you so much,5,2025-12-10 00:34:37,1.2025.329,Fadumo,0
perfect,5,2025-12-10 00:34:24,1.2025.336,Hadis Borjak,0
I think this is great,5,2025-12-10 00:33:59,1.2025.329,Aiman Malik,0
very nice,5,2025-12-10 00:33:31,1.2025.336,Aditya Kumar,0
very useful,5,2025-12-10 00:33:19,1.2025.336,Jun pei Yu,0
npakagaling po,5,2025-12-10 00:32:38,1.2025.329,Dexter Carlit,0
nice 👍🙂,5,2025-12-10 00:32:31,1.2025.336,Adnan Hassan,0
super 🌹🌹🌹,5,2025-12-10 00:32:25,1.2025.336,Praba Praba,0
Nice,5,2025-12-10 00:31:18,1.2025.329,ramniwas bhatiya,0
great,5,2025-12-10 00:31:07,1.2025.336,farid nateghi,0
good educational,5,2025-12-10 00:29:42,1.2025.329,anuja zagade,0
it's fantastic 👏,5,2025-12-10 00:29:28,1.2025.336,Terry Collins,0
excellent,5,2025-12-10 00:29:26,1.2025.329,Elijah Samson,0
nice,5,2025-12-10 00:29:12,1.2025.329,Ammar Mhowwala,0
Good 💥👍,4,2025-12-10 00:29:06,1.2025.336,ragu nathan,0
chatGPT stopped responding after I updated the app,1,2025-12-10 00:28:44,,Sylvia,0
it's very good app,5,2025-12-10 00:27:20,1.2025.308,محمد مهدی ابراهیمی,0
ekdam bekar,1,2025-12-10 00:26:24,1.2025.329,Avani Dave,0
terbaik,5,2025-12-10 00:25:42,1.2025.329,Zikrillah Ismail,0
"I've found a friend, and an all-round life partner with You!",5,2025-12-10 00:25:23,1.2025.329,Theo Xhobo,0
let there be student pro,4,2025-12-10 00:25:03,1.2025.329,Aimuamwosa genesis,0
very good,5,2025-12-10 00:24:22,1.2025.336,laxmi vasvani,0
make him smarter bruh,4,2025-12-10 00:24:02,1.2025.336,brian njuguna,0
so far so good!,5,2025-12-10 00:23:46,1.2025.329,Poppa Hec,0
👏👏,1,2025-12-10 00:22:57,1.2025.336,Nila nidi,0
amazing guys,5,2025-12-10 00:22:50,1.2025.329,Alhassan Ahmed,0
Very helpful in my studies.,5,2025-12-10 00:22:15,1.2025.336,Muze Malongoza,0
superb app,5,2025-12-10 00:21:42,1.2025.329,frank onyekeonwea,0
app slowed down. prompts not getting sent in project,1,2025-12-10 00:21:28,,Akanksha,0
The New Features Are Good 👍,5,2025-12-10 00:21:16,1.2025.336,Vishal Gupta,0
chatgpt is the best learning software ever seen,5,2025-12-10 00:21:14,1.2025.329,Mariya Lawan,0
this is good application 👏,5,2025-12-10 00:20:40,1.2025.329,ARJUN KUMAR MANJHI,0
Great,5,2025-12-10 00:20:22,1.2025.329,Riaz kamal Riaz,0
i love it,5,2025-12-10 00:19:10,1.2025.329,Aisha Muhammad,0
not responding,1,2025-12-10 00:19:07,1.2025.336,Anu Digital Media,0
very good appp,4,2025-12-10 00:19:05,1.2025.329,A. Shelembe,0
சிறப்பு,5,2025-12-10 00:18:55,1.2025.336,Mani Vel,0
very good to use,5,2025-12-10 00:17:29,1.2025.329,Randy Manyoro,0
thankyou is se bahut help ho jati h,5,2025-12-10 00:17:22,1.2025.336,Arti Yadav,0
best friend,5,2025-12-10 00:17:14,1.2025.336,Zainul Zain,0
Good,1,2025-12-10 00:17:10,1.2025.336,ORIYOMI AREMU,0
This is fabulous....!,5,2025-12-10 00:17:04,1.2025.336,Dipak Gavale,0
nice 👍,3,2025-12-10 00:15:57,1.2025.329,Shanukumar,0
a great source of quick info,4,2025-12-10 00:15:24,1.2025.336,Victor Diergaardt,0
very good app,5,2025-12-10 00:14:19,1.2025.336,suraj kotiyal,0
This is a great app.Love to use. If you have any curry and did not resolve like you want to some knowledge about any area go for it. I used this app most of the time of my life. it's give thoughts full solution 👍,5,2025-12-10 00:14:07,1.2025.336,Arman Ansari,0
i love the app is easy to use and also easy to learn with,5,2025-12-10 00:10:06,1.2025.336,Daniella Agbonmeire,0
veri nice,5,2025-12-10 00:09:48,1.2025.329,Rahul Tufani,0
voice chat doesnt work from times to times,3,2025-12-10 00:09:30,1.2025.329,Ivan Streltsov,0
you're ai sucks since it's always messing up what I want to proceed when it following your terms of service and usage policies. But it doesn't work even when I make sure it doesn't violate your terms of service and usage policies.,1,2025-12-10 00:09:21,1.2025.336,travis escarmant,2
very nice interesting exciting informative useful user friendly helpful,5,2025-12-10 00:08:58,1.2025.336,Pinky Fulsunge,0
good aap fr.,4,2025-12-10 00:08:36,1.2025.329,Joon Dupit,0
nyc app,5,2025-12-10 00:07:25,1.2025.329,shabnam kashyap,0
Goodddd,5,2025-12-10 00:07:22,,Lakshika Bandara,0
ai feature is extremely good,5,2025-12-10 00:06:45,1.2025.336,Ram Chander,0
ఎక్సలెంట్ 💐💐💐💐💐💐,5,2025-12-10 00:04:52,1.2025.329,Vj Vjjeiwn,0
it helps to learn things and help with studies.this the best ai app.whoever created this is very creative person.,5,2025-12-10 00:04:33,1.2025.329,black beast,0
💯,5,2025-12-10 00:03:26,1.2025.329,Lehlohonolo Vinger,0
cool,5,2025-12-10 00:03:22,1.2025.336,Noorkazanah Alli,0
this is amazing...,5,2025-12-10 00:02:52,1.2025.336,M Siddique,0
"amazing, just wow, I really love it.",5,2025-12-10 00:02:47,1.2025.336,Lerato Katebe,0
"Be careful with this app. i'm having a normal conversation about removing a hidden attribute files, in my case, it was a temp file, and then all of a sudden chatgpt blocks me from communicating? youtube all over again? This is an innocent conversation, and chatgpt was trying to help. i guess it's the programmers, pull out before you pay, or you pay and pay again.",2,2025-12-09 23:59:51,1.2025.336,David Carlson,2
this is more then enough,5,2025-12-09 23:58:25,1.2025.336,Suprav,0
good🥰,4,2025-12-09 23:58:24,1.2025.329,Josan Bhati,0
"i know it's ai ❤️‍🩹 but it can now replace by teachers and relatives ❤️‍🔥 because it have own emotions and But it will never make fun of your weakness💞 like Tony Stark's Jarvis ai,🥰 it teaches you that you are not weak,💪 you just need to learn. ✍️And this is my own experience. 💯🎉 thanks Chatgpt ❤️‍🔥",5,2025-12-09 23:57:23,1.2025.336,Adnan Mustafa,0
very nice app,5,2025-12-09 23:57:05,1.2025.329,Lacy Chapin,0
this is cooooolness is new show,5,2025-12-09 23:57:01,1.2025.329,Azam khan,0
it's help full,5,2025-12-09 23:56:00,1.2025.336,shik smoke,0
useful af..!,5,2025-12-09 23:55:55,1.2025.336,Amir Khoobbakht Fard,0
Nice app,4,2025-12-09 23:55:50,1.2025.336,Vikas Nayak,0
handy check out your mental health status,5,2025-12-09 23:54:58,1.2025.329,Ad0Domino Dalekz,0
this is very good very best and halpfull app i like this app,5,2025-12-09 23:54:37,1.2025.329,Md Obaid,0
best Ai,5,2025-12-09 23:53:29,1.2025.329,Suhail Ansari,0
slow working,4,2025-12-09 23:53:13,1.2025.329,Jayshree Shyam,0
good 👍,5,2025-12-09 23:52:14,1.2025.322,Kavi Aras,0
not working so bad not open he said this problem with your open not work,1,2025-12-09 23:52:06,1.2025.336,Nabiullah Ansari,0
very. Good. 🤓🧐,5,2025-12-09 23:51:36,1.2025.308,Methmi,0
good 👍😊😊,5,2025-12-09 23:51:23,1.2025.329,Yash Jain,0
great job,5,2025-12-09 23:51:09,1.2025.336,Nehemiah global revival tv,0
