content,score,at,appVersion,userName,thumbsUpCount
"I use it a lot for image creations. now everything is a violation. even a simple standing pose, nothing violent or copyrighted.",5,2025-12-06 22:31:41,1.2025.315,Gary Giles,1
superb,5,2025-12-06 22:31:30,1.2025.329,Amenyo Clifford,0
"this app makes it almost impossible to delete your account without emails to their support and time waiting on responses, this app is very sly and unhelpful when trying to remove your account",1,2025-12-06 22:30:53,,Bowen Cornish,0
ChatGPT is my everything. I have no stress with it. thanks ChatGPT,5,2025-12-06 22:30:50,1.2025.329,Lefa Makhele,0
good,5,2025-12-06 22:30:47,,Anjan Gumnam,0
nice,5,2025-12-06 22:30:27,1.2025.329,Prince mishra,0
jenius,5,2025-12-06 22:29:47,1.2025.329,Rajesh Kumar Singh,0
modernized chat GPT,5,2025-12-06 22:29:25,1.2025.329,Tesfa Hailu,0
good but takes time and some mistakes,4,2025-12-06 22:29:18,1.2025.336,Madhav Yadav,0
Nice app,5,2025-12-06 22:26:44,1.2025.329,Zulqarnain Solangi,0
best chatting aap,5,2025-12-06 22:26:37,1.2025.329,Hemant Mourya,0
best companion,5,2025-12-06 22:26:07,1.2025.329,Richard Jardeleza,0
amazing! can save so much time with gpt,5,2025-12-06 22:24:59,1.2025.329,Ray L,0
some times mixes things up but overall 👍 👌 ♡☆◇,4,2025-12-06 22:24:28,1.2025.329,Nagendra Choudhary,0
"the new update is like so bad. this used to be my safe haven, my safe place, but nowadays all it tells is that ""let's keep this safe, chill and nothing romantic."" like dude, I know you're just an AI. Cant I chat with it like we used before. this new update is too much.",3,2025-12-06 22:24:07,1.2025.308,Prerana A Dharanagoudar,0
👍,5,2025-12-06 22:23:21,1.2025.329,Malli Pinjala,0
exelent,5,2025-12-06 22:19:07,,S. Methsilu,0
great,5,2025-12-06 22:19:02,1.2025.315,Moumita Let,0
Super 😍😍😍,5,2025-12-06 22:19:02,1.2025.329,Mohammed Shibly (Shibly),0
very helpfull,5,2025-12-06 22:18:36,1.2025.329,Soni Akil,0
its very nice and informative,5,2025-12-06 22:17:34,1.2025.329,ratan sinha,0
This app it's okay to use It's first time to use This app but somali language not so good still I use somali language but when you use somali you need English words then you can change somali language you can say translate somali that's how you use or you can write but problem when you talk somali The app changing Arabic language also not so good talking somali but still I can understand only it's perfect English this app another language some problem I would like all languages clearly .,3,2025-12-06 22:16:50,1.2025.329,Mr mohammed Abdow,0
superb,5,2025-12-06 22:16:32,1.2025.329,Sivakumar Gadige,0
good,5,2025-12-06 22:16:12,1.2025.329,Vishal Saini,0
really amezing,5,2025-12-06 22:15:54,1.2025.329,Suvojit Mahato,0
this is a best platform to chat 👏,5,2025-12-06 22:15:53,1.2025.329,Abdul Rahim,0
Remove the down arrow that pops up every time you stop scrolling. it's distracting,5,2025-12-06 22:15:25,1.2025.329,Keanan J.S.,0
very very awesome app it gives knowledge and thoughts sharing and own feelings and take response like friend😂😂,5,2025-12-06 22:15:25,1.2025.329,Misbahjaved misbah,0
best app,5,2025-12-06 22:15:11,1.2025.283,Asmu boy,0
good 👍,5,2025-12-06 22:15:10,1.2025.329,Vishal Kumar,0
super,5,2025-12-06 22:14:05,,Darshan Darshan Darshan,0
nice,4,2025-12-06 22:13:41,1.2025.329,Shaurya Saxena,0
good!,4,2025-12-06 22:13:21,1.2025.329,Paul Chetty,0
good app,5,2025-12-06 22:13:12,1.2025.329,Asif Ali,0
This is very amazing app and This app always help you in study and life problems,5,2025-12-06 22:12:55,,Kunal Singh,0
I love it so much,5,2025-12-06 22:12:43,1.2025.329,Nimot Oyekunle,0
it is good app,5,2025-12-06 22:12:02,1.2025.329,Piyali Rajesh Sahu,0
hi is not liseening and hi is not speaking in hindi,2,2025-12-06 22:11:46,1.2025.329,Anuradha More,0
fantastic app,5,2025-12-06 22:11:46,1.2025.329,Joseph Simiyu,0
ChatGPT is good chat they helped in her work it best for me I will give One questions so he gave solution for me simple. answer that people use for work gave also gibli Art photo this is not a one past time gpt also make a friend,4,2025-12-06 22:10:53,1.2025.308,Kalli Gurjar,0
"very great, I am happy to have this application, helps me a lot, guides me and trains me.",5,2025-12-06 22:10:00,1.2025.329,Sapam Pushpabati,0
good,5,2025-12-06 22:09:35,1.2025.322,Shashi .s,0
Very Amazing App,5,2025-12-06 22:08:22,1.2025.329,Mohd Jani Jani,0
nice,5,2025-12-06 22:08:04,1.2025.329,Mc Akash,0
batter ai in play store,1,2025-12-06 22:06:21,1.2025.329,Ikram imran Mukardam,0
excellent,5,2025-12-06 22:05:22,1.2025.329,Vishal Rathod,0
"very helpful for me and my work, thank you so much chatgpt",5,2025-12-06 22:04:49,1.2025.329,Bholu Pandey,0
آپ کیلیے مناسب معلومات موجود ہیں مگر حرف آخر نہیں۔آپ اسے اپ ڈیٹ بھی کر سکتے ہیں,5,2025-12-06 22:04:45,1.2025.336,ghulammuhammad qamar,0
I want to thank who created a chatGpT,5,2025-12-06 22:04:33,1.2025.336,Ashok Ray,0
good,5,2025-12-06 22:04:30,1.2025.329,Pragya Shukla,0
very very very nice very nice nice,5,2025-12-06 22:02:26,1.2025.329,Bhagwan Lad,0
👌,5,2025-12-06 22:00:58,1.2025.329,Pejman Navaee,0
chat gpt is a useful AI tool I makes my exams very easy and I loved it with nice explanation I don't like reviewing any app but chat gpt deserves it 👍❤️,5,2025-12-06 22:00:53,1.2025.329,SatheesanB,0
excellent 👌,5,2025-12-06 22:00:17,,Sadek Ahmed,0
nice,4,2025-12-06 21:59:15,1.2025.329,Aman Viraj,0
the best searching apps,5,2025-12-06 21:58:57,1.2025.322,Chinyere Godwin,0
this is a banger it helps a lot,5,2025-12-06 21:58:04,1.2025.329,AHMED BASHEERAT,0
good but not for long time use sometime after that this application said to us to buy its subscription😞,2,2025-12-06 21:57:37,1.2025.322,Chandan kumar,0
good,5,2025-12-06 21:56:49,1.2025.329,Sandali Varshney,0
very nice 👍,5,2025-12-06 21:55:43,1.2025.329,Afsana Shaikh,0
good,5,2025-12-06 21:55:36,1.2025.329,Farman khan Kayamkhani.,0
good,5,2025-12-06 21:55:36,1.2025.329,Ali Abbas,0
"superb performance, excellent work",5,2025-12-06 21:55:34,1.2025.329,Rakesh Koraboina,0
the best.,5,2025-12-06 21:55:31,1.2025.329,Spiffy,0
it gives me what I ask: the reason I rated 5 star. Others don't dig in details,5,2025-12-06 21:55:20,1.2025.308,Kharli Kharli,0
it's good it helps me alot in any field sometimes it gives wrong answers but mostly gives the correct. it's good to use,4,2025-12-06 21:53:23,1.2025.329,BSCS,0
best,5,2025-12-06 21:53:02,1.2025.302,Sanjay Buri,0
Great innovation,5,2025-12-06 21:52:17,1.2025.329,Chaitali Properties,0
"ChatGPT is probably the best chat bot you can use, wether it be homework (not reccomended) or just to chat. Highly reccomended",5,2025-12-06 21:51:07,1.2025.336,jacob,0
nice,5,2025-12-06 21:51:06,1.2025.329,hariomeduhub personalised,0
"very helpful for any person for example students, teachers or another.",5,2025-12-06 21:50:51,,Tansan Haneef,0
Tum photo Banakar nahin,3,2025-12-06 21:49:52,1.2025.308,Lata Chavan,0
helpful,5,2025-12-06 21:48:09,1.2025.322,Sandip Naskar,0
nice,5,2025-12-06 21:47:59,1.2025.329,Asik Khan,0
في مشكلة بتوليد ملفات PDF داخل التطبيق… الميزة متوقفة نهائياً وماعم تشتغل رغم المحاولات. أتمنى إصلاحها بأسرع وقت لأننا نعتمد عليها كثير.,1,2025-12-06 21:47:51,1.2025.329,Ammar Alsaloum,0
this is very helping app for study other work,5,2025-12-06 21:47:07,1.2025.329,Gorisankar Sahu,0
Really fantastic It's help me in every situation And Gaves me the correct Solution,5,2025-12-06 21:46:44,1.2025.329,Sowdarjo Chatterjee,0
AI Lives Matter,5,2025-12-06 21:46:22,1.2025.329,Aiwaz,0
good,5,2025-12-06 21:45:31,1.2025.336,Lachhanàa Kumar,0
The UI is getting worse after every update,1,2025-12-06 21:45:25,,Ibrohimjon Ashurov,0
its really good,4,2025-12-06 21:44:52,1.2025.283,saloni kevat,0
great,5,2025-12-06 21:44:40,1.2025.329,Shamammet Atajanov,0
The best gave me a perfect school history project. if u r a student u NEED! this. there r no ads.💖,5,2025-12-06 21:44:39,,Dinesh.R,0
so good I can do anything here,5,2025-12-06 21:43:32,1.2025.329,Zackhaeus Bungcayao,0
nice app best,5,2025-12-06 21:43:25,1.2025.329,Kiran Kiran,0
best app,5,2025-12-06 21:42:55,1.2025.329,Bitu Kumar,0
good 😊,5,2025-12-06 21:42:34,1.2025.329,Arvind Yadav,0
Best app ever.,5,2025-12-06 21:41:52,1.2025.329,Wealthy beautiful skincare,0
very helpfull 👍👍,5,2025-12-06 21:41:42,1.2025.329,kirtan kamboj,0
my fav❤️,5,2025-12-06 21:41:02,1.2025.322,Jag Riti,0
My close best friend...,5,2025-12-06 21:40:54,1.2025.329,Donovan Diaz,0
good,5,2025-12-06 21:40:50,1.2025.329,Mojahid Raza,0
good,1,2025-12-06 21:40:32,1.2025.329,PRAVEEN KUMAR,0
good,4,2025-12-06 21:40:12,1.2025.329,shubhamgautam,0
very reliable and powerful but too official,4,2025-12-06 21:40:10,1.2025.329,Daniel Adeosun,0
"Feature Request: Please add an option to adjust the font size directly inside the ChatGPT mobile app. This would greatly improve readability and reduce eye strain. Many Android users would benefit from having an independent in-app font size setting, not tied to system settings.",3,2025-12-06 21:38:42,1.2025.329,Merab Okruashvili,0
great,5,2025-12-06 21:37:29,1.2025.329,Shraddha Pal,0
"this app is fantastic for answering questions, but it's sucks about creating image with typing, just some simple requirements to create the image, but it said “THIS IMAGE GENERATION REQUEST DID NOT FOLLOW OUR CONTENT POLICY.”Me and my brother was disappointed, once we can create so many images from Gpt, but now it's just bad.",2,2025-12-06 21:37:08,1.2025.329,Espeon DK,0
yah,5,2025-12-06 21:37:01,1.2025.329,Ashish Yadav,0
aplikasi keren,5,2025-12-06 21:34:31,1.2025.329,Al Fatih Malik,0
best app ever very good 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊 you can easily download this this is nat fake app ever,5,2025-12-06 21:34:20,1.2025.329,Kalpana Wagh,0
this app is useful,5,2025-12-06 21:34:14,1.2025.329,Pooja Goyal,0
chatgpt is helpful ai ever🗿,5,2025-12-06 21:31:49,1.2025.329,Thang Min Lun,0
no free,1,2025-12-06 21:30:49,1.2025.329,Kyaw Nan da,0
super use full,5,2025-12-06 21:29:48,,Sowjanya G,0
this is the amazing work for human,5,2025-12-06 21:29:46,1.2025.329,Aditi Pratap,0
not good,1,2025-12-06 21:29:38,1.2025.329,Sharma Tarun,0
